"","Orden incial","El lugar que habitan es:","Contrato firmado","Costo actual","Aumento ultimo año","Porcentaje aumento"
"224",224,"Propio sin títulos",NA,NA,NA,NA
"225",225,"Propio sin títulos",NA,NA,NA,NA
"226",226,"Propio sin títulos",NA,NA,NA,NA
"227",227,"Propio sin títulos",NA,NA,NA,NA
"228",228,"Propio sin títulos",NA,NA,NA,NA
"229",229,"Propio sin títulos",NA,NA,NA,NA
"230",230,"Propio sin títulos",NA,NA,NA,NA
"231",231,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"232",232,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"233",233,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"234",234,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"235",235,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"236",236,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"237",237,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"238",238,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"239",239,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"240",240,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"241",241,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"242",242,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"243",243,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"244",244,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"245",245,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"246",246,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"247",247,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"248",248,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"249",249,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"250",250,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"251",251,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"252",252,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
